Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
2017,1,1,0,30,0,0,0
2017,1,1,1,30,0,0,0
2017,1,1,2,30,0,0,0
2017,1,1,3,30,0,0,0
2017,1,1,4,30,0,0,0
2017,1,1,5,30,0,0,0
2017,1,1,6,30,0,0,0
2017,1,1,7,30,0,0,0
2017,1,1,8,30,54,145,506
2017,1,1,9,30,76,302,702
2017,1,1,10,30,85,429,810
2017,1,1,11,30,90,504,857
2017,1,1,12,30,86,518,875
2017,1,1,13,30,83,468,849
2017,1,1,14,30,73,362,788
2017,1,1,15,30,57,216,660
2017,1,1,16,30,29,56,335
2017,1,1,17,30,0,0,0
2017,1,1,18,30,0,0,0
2017,1,1,19,30,0,0,0
2017,1,1,20,30,0,0,0
2017,1,1,21,30,0,0,0
2017,1,1,22,30,0,0,0
2017,1,1,23,30,0,0,0
2017,1,2,0,30,0,0,0
2017,1,2,1,30,0,0,0
2017,1,2,2,30,0,0,0
2017,1,2,3,30,0,0,0
2017,1,2,4,30,0,0,0
2017,1,2,5,30,0,0,0
2017,1,2,6,30,0,0,0
2017,1,2,7,30,0,0,0
2017,1,2,8,30,68,132,358
2017,1,2,9,30,97,283,581
2017,1,2,10,30,103,408,718
2017,1,2,11,30,104,482,781
2017,1,2,12,30,107,494,782
2017,1,2,13,30,102,447,755
2017,1,2,14,30,90,346,691
2017,1,2,15,30,69,204,557
2017,1,2,16,30,34,53,222
2017,1,2,17,30,0,0,0
2017,1,2,18,30,0,0,0
2017,1,2,19,30,0,0,0
2017,1,2,20,30,0,0,0
2017,1,2,21,30,0,0,0
2017,1,2,22,30,0,0,0
2017,1,2,23,30,0,0,0
2017,1,3,0,30,0,0,0
2017,1,3,1,30,0,0,0
2017,1,3,2,30,0,0,0
2017,1,3,3,30,0,0,0
2017,1,3,4,30,0,0,0
2017,1,3,5,30,0,0,0
2017,1,3,6,30,0,0,0
2017,1,3,7,30,0,0,0
2017,1,3,8,30,44,142,544
2017,1,3,9,30,61,294,723
2017,1,3,10,30,72,411,796
2017,1,3,11,30,77,479,827
2017,1,3,12,30,79,492,830
2017,1,3,13,30,78,444,798
2017,1,3,14,30,73,343,727
2017,1,3,15,30,61,202,576
2017,1,3,16,30,31,53,257
2017,1,3,17,30,0,0,0
2017,1,3,18,30,0,0,0
2017,1,3,19,30,0,0,0
2017,1,3,20,30,0,0,0
2017,1,3,21,30,0,0,0
2017,1,3,22,30,0,0,0
2017,1,3,23,30,0,0,0
2017,1,4,0,30,0,0,0
2017,1,4,1,30,0,0,0
2017,1,4,2,30,0,0,0
2017,1,4,3,30,0,0,0
2017,1,4,4,30,0,0,0
2017,1,4,5,30,0,0,0
2017,1,4,6,30,0,0,0
2017,1,4,7,30,0,0,0
2017,1,4,8,30,48,137,492
2017,1,4,9,30,69,284,668
2017,1,4,10,30,82,402,750
2017,1,4,11,30,88,472,788
2017,1,4,12,30,88,485,797
2017,1,4,13,30,85,441,774
2017,1,4,14,30,75,345,721
2017,1,4,15,30,60,206,591
2017,1,4,16,30,31,57,297
2017,1,4,17,30,0,0,0
2017,1,4,18,30,0,0,0
2017,1,4,19,30,0,0,0
2017,1,4,20,30,0,0,0
2017,1,4,21,30,0,0,0
2017,1,4,22,30,0,0,0
2017,1,4,23,30,0,0,0
2017,1,5,0,30,0,0,0
2017,1,5,1,30,0,0,0
2017,1,5,2,30,0,0,0
2017,1,5,3,30,0,0,0
2017,1,5,4,30,0,0,0
2017,1,5,5,30,0,0,0
2017,1,5,6,30,0,0,0
2017,1,5,7,30,0,0,0
2017,1,5,8,30,42,150,599
2017,1,5,9,30,56,312,793
2017,1,5,10,30,63,441,883
2017,1,5,11,30,67,517,922
2017,1,5,12,30,67,531,928
2017,1,5,13,30,62,488,920
2017,1,5,14,30,57,384,866
2017,1,5,15,30,47,235,755
2017,1,5,16,30,26,70,475
2017,1,5,17,30,0,0,0
2017,1,5,18,30,0,0,0
2017,1,5,19,30,0,0,0
2017,1,5,20,30,0,0,0
2017,1,5,21,30,0,0,0
2017,1,5,22,30,0,0,0
2017,1,5,23,30,0,0,0
2017,1,6,0,30,0,0,0
2017,1,6,1,30,0,0,0
2017,1,6,2,30,0,0,0
2017,1,6,3,30,0,0,0
2017,1,6,4,30,0,0,0
2017,1,6,5,30,0,0,0
2017,1,6,6,30,0,0,0
2017,1,6,7,30,0,0,0
2017,1,6,8,30,44,155,616
2017,1,6,9,30,61,315,786
2017,1,6,10,30,69,440,864
2017,1,6,11,30,75,509,886
2017,1,6,12,30,70,524,904
2017,1,6,13,30,77,468,842
2017,1,6,14,30,74,363,762
2017,1,6,15,30,62,218,616
2017,1,6,16,30,32,63,320
2017,1,6,17,30,0,0,0
2017,1,6,18,30,0,0,0
2017,1,6,19,30,0,0,0
2017,1,6,20,30,0,0,0
2017,1,6,21,30,0,0,0
2017,1,6,22,30,0,0,0
2017,1,6,23,30,0,0,0
2017,1,7,0,30,0,0,0
2017,1,7,1,30,0,0,0
2017,1,7,2,30,0,0,0
2017,1,7,3,30,0,0,0
2017,1,7,4,30,0,0,0
2017,1,7,5,30,0,0,0
2017,1,7,6,30,0,0,0
2017,1,7,7,30,0,0,0
2017,1,7,8,30,53,135,455
2017,1,7,9,30,71,286,661
2017,1,7,10,30,81,405,753
2017,1,7,11,30,82,478,805
2017,1,7,12,30,80,493,820
2017,1,7,13,30,88,443,762
2017,1,7,14,30,76,349,716
2017,1,7,15,30,56,215,622
2017,1,7,16,30,30,64,355
2017,1,7,17,30,0,0,0
2017,1,7,18,30,0,0,0
2017,1,7,19,30,0,0,0
2017,1,7,20,30,0,0,0
2017,1,7,21,30,0,0,0
2017,1,7,22,30,0,0,0
2017,1,7,23,30,0,0,0
2017,1,8,0,30,0,0,0
2017,1,8,1,30,0,0,0
2017,1,8,2,30,0,0,0
2017,1,8,3,30,0,0,0
2017,1,8,4,30,0,0,0
2017,1,8,5,30,0,0,0
2017,1,8,6,30,0,0,0
2017,1,8,7,30,0,0,0
2017,1,8,8,30,44,139,519
2017,1,8,9,30,61,288,697
2017,1,8,10,30,75,405,765
2017,1,8,11,30,85,473,787
2017,1,8,12,30,85,489,798
2017,1,8,13,30,85,444,765
2017,1,8,14,30,79,349,702
2017,1,8,15,30,62,213,586
2017,1,8,16,30,33,64,311
2017,1,8,17,30,0,0,0
2017,1,8,18,30,0,0,0
2017,1,8,19,30,0,0,0
2017,1,8,20,30,0,0,0
2017,1,8,21,30,0,0,0
2017,1,8,22,30,0,0,0
2017,1,8,23,30,0,0,0
2017,1,9,0,30,0,0,0
2017,1,9,1,30,0,0,0
2017,1,9,2,30,0,0,0
2017,1,9,3,30,0,0,0
2017,1,9,4,30,0,0,0
2017,1,9,5,30,0,0,0
2017,1,9,6,30,0,0,0
2017,1,9,7,30,0,0,0
2017,1,9,8,30,53,143,495
2017,1,9,9,30,73,300,693
2017,1,9,10,30,75,430,819
2017,1,9,11,30,80,503,853
2017,1,9,12,30,82,518,858
2017,1,9,13,30,91,466,794
2017,1,9,14,30,83,365,731
2017,1,9,15,30,66,224,605
2017,1,9,16,30,36,67,305
2017,1,9,17,30,0,0,0
2017,1,9,18,30,0,0,0
2017,1,9,19,30,0,0,0
2017,1,9,20,30,0,0,0
2017,1,9,21,30,0,0,0
2017,1,9,22,30,0,0,0
2017,1,9,23,30,0,0,0
2017,1,10,0,30,0,0,0
2017,1,10,1,30,0,0,0
2017,1,10,2,30,0,0,0
2017,1,10,3,30,0,0,0
2017,1,10,4,30,0,0,0
2017,1,10,5,30,0,0,0
2017,1,10,6,30,0,0,0
2017,1,10,7,30,0,0,0
2017,1,10,8,30,45,144,541
2017,1,10,9,30,62,298,719
2017,1,10,10,30,74,417,790
2017,1,10,11,30,83,488,814
2017,1,10,12,30,85,503,816
2017,1,10,13,30,84,459,789
2017,1,10,14,30,74,363,740
2017,1,10,15,30,59,225,625
2017,1,10,16,30,34,71,347
2017,1,10,17,30,0,0,0
2017,1,10,18,30,0,0,0
2017,1,10,19,30,0,0,0
2017,1,10,20,30,0,0,0
2017,1,10,21,30,0,0,0
2017,1,10,22,30,0,0,0
2017,1,10,23,30,0,0,0
2017,1,11,0,30,0,0,0
2017,1,11,1,30,0,0,0
2017,1,11,2,30,0,0,0
2017,1,11,3,30,0,0,0
2017,1,11,4,30,0,0,0
2017,1,11,5,30,0,0,0
2017,1,11,6,30,0,0,0
2017,1,11,7,30,0,0,0
2017,1,11,8,30,47,152,571
2017,1,11,9,30,64,313,757
2017,1,11,10,30,74,440,837
2017,1,11,11,30,77,517,880
2017,1,11,12,30,80,533,882
2017,1,11,13,30,80,487,853
2017,1,11,14,30,71,388,806
2017,1,11,15,30,56,244,700
2017,1,11,16,30,33,80,439
2017,1,11,17,30,0,0,0
2017,1,11,18,30,0,0,0
2017,1,11,19,30,0,0,0
2017,1,11,20,30,0,0,0
2017,1,11,21,30,0,0,0
2017,1,11,22,30,0,0,0
2017,1,11,23,30,0,0,0
2017,1,12,0,30,0,0,0
2017,1,12,1,30,0,0,0
2017,1,12,2,30,0,0,0
2017,1,12,3,30,0,0,0
2017,1,12,4,30,0,0,0
2017,1,12,5,30,0,0,0
2017,1,12,6,30,0,0,0
2017,1,12,7,30,0,0,0
2017,1,12,8,30,59,144,458
2017,1,12,9,30,82,303,668
2017,1,12,10,30,97,428,753
2017,1,12,11,30,99,506,810
2017,1,12,12,30,88,529,853
2017,1,12,13,30,75,492,869
2017,1,12,14,30,66,392,823
2017,1,12,15,30,52,248,725
2017,1,12,16,30,32,83,456
2017,1,12,17,30,0,0,0
2017,1,12,18,30,0,0,0
2017,1,12,19,30,0,0,0
2017,1,12,20,30,0,0,0
2017,1,12,21,30,0,0,0
2017,1,12,22,30,0,0,0
2017,1,12,23,30,0,0,0
2017,1,13,0,30,0,0,0
2017,1,13,1,30,0,0,0
2017,1,13,2,30,0,0,0
2017,1,13,3,30,0,0,0
2017,1,13,4,30,0,0,0
2017,1,13,5,30,0,0,0
2017,1,13,6,30,0,0,0
2017,1,13,7,30,11,14,183
2017,1,13,8,30,42,162,641
2017,1,13,9,30,56,326,813
2017,1,13,10,30,60,456,898
2017,1,13,11,30,63,534,934
2017,1,13,12,30,63,551,941
2017,1,13,13,30,61,507,924
2017,1,13,14,30,57,406,875
2017,1,13,15,30,48,259,771
2017,1,13,16,30,29,91,536
2017,1,13,17,30,0,0,0
2017,1,13,18,30,0,0,0
2017,1,13,19,30,0,0,0
2017,1,13,20,30,0,0,0
2017,1,13,21,30,0,0,0
2017,1,13,22,30,0,0,0
2017,1,13,23,30,0,0,0
2017,1,14,0,30,0,0,0
2017,1,14,1,30,0,0,0
2017,1,14,2,30,0,0,0
2017,1,14,3,30,0,0,0
2017,1,14,4,30,0,0,0
2017,1,14,5,30,0,0,0
2017,1,14,6,30,0,0,0
2017,1,14,7,30,11,14,153
2017,1,14,8,30,45,161,619
2017,1,14,9,30,60,326,797
2017,1,14,10,30,68,455,875
2017,1,14,11,30,71,533,912
2017,1,14,12,30,71,552,922
2017,1,14,13,30,69,508,905
2017,1,14,14,30,63,407,854
2017,1,14,15,30,53,261,753
2017,1,14,16,30,32,92,507
2017,1,14,17,30,0,0,0
2017,1,14,18,30,0,0,0
2017,1,14,19,30,0,0,0
2017,1,14,20,30,0,0,0
2017,1,14,21,30,0,0,0
2017,1,14,22,30,0,0,0
2017,1,14,23,30,0,0,0
2017,1,15,0,30,0,0,0
2017,1,15,1,30,0,0,0
2017,1,15,2,30,0,0,0
2017,1,15,3,30,0,0,0
2017,1,15,4,30,0,0,0
2017,1,15,5,30,0,0,0
2017,1,15,6,30,0,0,0
2017,1,15,7,30,12,14,132
2017,1,15,8,30,47,159,593
2017,1,15,9,30,64,324,773
2017,1,15,10,30,67,457,877
2017,1,15,11,30,70,536,915
2017,1,15,12,30,70,555,925
2017,1,15,13,30,66,510,907
2017,1,15,14,30,61,411,863
2017,1,15,15,30,51,264,759
2017,1,15,16,30,32,96,523
2017,1,15,17,30,0,0,0
2017,1,15,18,30,0,0,0
2017,1,15,19,30,0,0,0
2017,1,15,20,30,0,0,0
2017,1,15,21,30,0,0,0
2017,1,15,22,30,0,0,0
2017,1,15,23,30,0,0,0
2017,1,16,0,30,0,0,0
2017,1,16,1,30,0,0,0
2017,1,16,2,30,0,0,0
2017,1,16,3,30,0,0,0
2017,1,16,4,30,0,0,0
2017,1,16,5,30,0,0,0
2017,1,16,6,30,0,0,0
2017,1,16,7,30,12,16,178
2017,1,16,8,30,45,166,631
2017,1,16,9,30,58,331,809
2017,1,16,10,30,64,463,893
2017,1,16,11,30,69,540,920
2017,1,16,12,30,70,556,922
2017,1,16,13,30,71,512,896
2017,1,16,14,30,65,412,848
2017,1,16,15,30,53,266,752
2017,1,16,16,30,32,97,522
2017,1,16,17,30,0,0,0
2017,1,16,18,30,0,0,0
2017,1,16,19,30,0,0,0
2017,1,16,20,30,0,0,0
2017,1,16,21,30,0,0,0
2017,1,16,22,30,0,0,0
2017,1,16,23,30,0,0,0
2017,1,17,0,30,0,0,0
2017,1,17,1,30,0,0,0
2017,1,17,2,30,0,0,0
2017,1,17,3,30,0,0,0
2017,1,17,4,30,0,0,0
