Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,0,0,0,10.100000000000000,20,1027,69,307,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,0,0,0,10,20,1027,69,332,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,0,0,0,9.8,20,1027,69,352,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,0,0,0,9.600000000000000,20,1027,69,356,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,0,0,0,9.3,20,1027,69,344,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,0,0,0,9.1,20,1027,69,329,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,0,0,0,8.9,20,1028,69,323,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,90,10,11,8.700000000000000,20,1028,69,336,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,8,30,548,45,144,8.9,20,1028,69,179,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,9,30,734,60,296,9.3,20,1029,69,18,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,10,30,823,67,417,9.5,20,1028,69,26,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,11,30,860,71,487,9.200000000000000,20,1028,69,27,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,12,30,859,74,498,8.6,20,1027,69,20,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,13,30,828,73,449,8.3,20,1027,69,12,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,30,769,66,348,8.200000000000000,20,1026,69,9,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,30,641,52,206,9.1,20,1026,69,9,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,30,337,28,55,9,20,1026,69,23,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,30,0,0,0,8,20,1026,69,43,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,30,0,0,0,8,20,1026,69,62,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,30,0,0,0,7.9,20,1027,69,83,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,30,0,0,0,7.6000000000000000,20,1027,69,104,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,21,30,0,0,0,7.6000000000000000,20,1027,69,118,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,22,30,0,0,0,7.6000000000000000,20,1027,69,127,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,23,30,0,0,0,7.6000000000000000,20,1027,69,135,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,0,30,0,0,0,7.7,20,1027,69,137,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,1,30,0,0,0,7.7,20,1027,69,125,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,2,30,0,0,0,7.6000000000000000,20,1026,69,110,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,3,30,0,0,0,7.5,20,1026,69,102,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,4,30,0,0,0,7.4,20,1026,69,98,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,5,30,0,0,0,7.2,20,1026,69,97,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,6,30,0,0,0,7,20,1026,69,97,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,30,89,10,11,7,20,1027,69,92,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
