Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2018,1,1,0,30,0,0,0,10.100000000000001,11,1027,94.10000000000001,307,0.7000000000000001,0.12
2018,1,1,1,30,0,0,0,10,10.8,1027,94.72,332,0.7000000000000001,0.12
2018,1,1,2,30,0,0,0,9.8,10.5,1027,95.44,352,0.7000000000000001,0.12
2018,1,1,3,30,0,0,0,9.600000000000001,10.200000000000001,1027,95.88,356,0.7000000000000001,0.12
2018,1,1,4,30,0,0,0,9.3,10,1027,95.60000000000001,344,0.7000000000000001,0.12
2018,1,1,5,30,0,0,0,9.1,9.8,1027,95.46000000000001,329,0.7000000000000001,0.12
2018,1,1,6,30,0,0,0,8.9,9.700000000000001,1028,94.76,323,0.7000000000000001,0.12
2018,1,1,7,30,90,10,11,8.700000000000001,10.100000000000001,1028,91,336,0.7000000000000001,0.12
2018,1,1,8,30,126,66,89,8.9,11.4,1028,84.48,179,0.9,0.12
2018,1,1,9,30,309,118,217,9.3,13.3,1029,76.97,18,1.3,0.12
2018,1,1,10,30,435,146,331,9.5,15.100000000000001,1028,69,26,1.5,0.12
2018,1,1,11,30,642,124,434,9.200000000000001,16.7,1028,61.31,27,1.3,0.12
2018,1,1,12,30,644,126,444,8.6,17.7,1027,55.36,20,1.1,0.12
2018,1,1,13,30,529,139,379,8.3,18.2,1027,52.370000000000005,12,1,0.12
2018,1,1,14,30,564,97,304,8.200000000000001,18,1026,52.57,9,0.9,0.12
2018,1,1,15,30,345,79,162,9.1,17.7,1026,56.980000000000004,9,0.8,0.12
2018,1,1,16,30,40,29,32,9,14.8,1026,68.4,23,0.9,0.12
2018,1,1,17,30,0,0,0,8,13.5,1026,69.25,43,1,0.12
2018,1,1,18,30,0,0,0,8,12.8,1026,72.83,62,1,0.12
2018,1,1,19,30,0,0,0,7.9,12.600000000000001,1027,73.3,83,1,0.12
2018,1,1,20,30,0,0,0,7.6000000000000005,12.5,1027,72.25,104,1,0.12
2018,1,1,21,30,0,0,0,7.6000000000000005,12.600000000000001,1027,71.54,118,0.9,0.12
2018,1,1,22,30,0,0,0,7.6000000000000005,12.600000000000001,1027,71.62,127,0.9,0.12
2018,1,1,23,30,0,0,0,7.6000000000000005,12.5,1027,72.05,135,1,0.12
2018,1,2,0,30,0,0,0,7.7,12.3,1027,73.39,137,1,0.12
2018,1,2,1,30,0,0,0,7.7,12.200000000000001,1027,74.16,125,1,0.12
2018,1,2,2,30,0,0,0,7.6000000000000005,11.8,1026,75.67,110,1.1,0.12
2018,1,2,3,30,0,0,0,7.5,11.4,1026,77.02,102,1.1,0.12
2018,1,2,4,30,0,0,0,7.4,11,1026,78.24,98,1.1,0.12
