Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2018,1,1,0,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,1,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,2,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,3,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,4,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,5,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,6,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,7,30,24.32,10,2.44,10.1,20,1027,69,307,2.12,0.12
2018,1,1,8,30,567.56,45,147.72,10.1,20,1027,69,307,2.12,0.12
2018,1,1,9,30,747.96,60,302.52,10.1,20,1027,69,307,2.12,0.12
2018,1,1,10,30,829.32,67,423.76,10.1,20,1027,69,307,2.12,0.12
2018,1,1,11,30,865.48,71,494.32,10.1,20,1027,69,307,2.12,0.12
2018,1,1,12,30,870.72,74,505.92,10.1,20,1027,69,307,2.12,0.12
2018,1,1,13,30,845.84,73,458.04,10.1,20,1027,69,307,2.12,0.12
2018,1,1,14,30,787.44,66,355.64,10.1,20,1027,69,307,2.12,0.12
2018,1,1,15,30,662.6,52,211.44,10.1,20,1027,69,307,2.12,0.12
2018,1,1,16,30,353.68,28,55.64,10.1,20,1027,69,307,2.12,0.12
2018,1,1,17,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,18,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,19,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,20,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,21,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
2018,1,1,22,30,0.0,0,0.0,10.1,20,1027,69,307,2.12,0.12
