"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",-0.00072114
"Jan 1, 01:00 am",-0.00072114
"Jan 1, 02:00 am",-0.00072114
"Jan 1, 03:00 am",-0.00072114
"Jan 1, 04:00 am",-0.00072114
"Jan 1, 05:00 am",-0.00072114
"Jan 1, 06:00 am",-0.00072114
"Jan 1, 07:00 am",0.0739123
"Jan 1, 08:00 am",1.73793
"Jan 1, 09:00 am",4.23225
"Jan 1, 10:00 am",6.09396
"Jan 1, 11:00 am",7.31271
"Jan 1, 12:00 pm",7.07552
"Jan 1, 01:00 pm",6.22847
"Jan 1, 02:00 pm",5.70509
"Jan 1, 03:00 pm",3.43433
"Jan 1, 04:00 pm",0.26878
"Jan 1, 05:00 pm",-0.00072114
"Jan 1, 06:00 pm",-0.00072114
"Jan 1, 07:00 pm",-0.00072114
"Jan 1, 08:00 pm",-0.00072114
"Jan 1, 09:00 pm",-0.00072114
"Jan 1, 10:00 pm",-0.00072114
"Jan 1, 11:00 pm",-0.00072114
"Jan 2, 12:00 am",-0.00072114
"Jan 2, 01:00 am",-0.00072114
"Jan 2, 02:00 am",-0.00072114
"Jan 2, 03:00 am",-0.00072114
"Jan 2, 04:00 am",-0.00072114
"Jan 2, 05:00 am",-0.00072114
"Jan 2, 06:00 am",-0.00072114
"Jan 2, 07:00 am",-0.00072114
"Jan 2, 08:00 am",0.835216
"Jan 2, 09:00 am",1.7553
"Jan 2, 10:00 am",3.74396
"Jan 2, 11:00 am",0.472252
"Jan 2, 12:00 pm",0.589846
"Jan 2, 01:00 pm",2.6892
"Jan 2, 02:00 pm",2.41957
"Jan 2, 03:00 pm",2.31781
"Jan 2, 04:00 pm",0.163412
"Jan 2, 05:00 pm",-0.00072114
"Jan 2, 06:00 pm",-0.00072114
"Jan 2, 07:00 pm",-0.00072114
"Jan 2, 08:00 pm",-0.00072114
"Jan 2, 09:00 pm",-0.00072114
"Jan 2, 10:00 pm",-0.00072114
"Jan 2, 11:00 pm",-0.00072114
"Jan 3, 12:00 am",-0.00072114
"Jan 3, 01:00 am",-0.00072114
"Jan 3, 02:00 am",-0.00072114
"Jan 3, 03:00 am",-0.00072114
"Jan 3, 04:00 am",-0.00072114
"Jan 3, 05:00 am",-0.00072114
"Jan 3, 06:00 am",-0.00072114
"Jan 3, 07:00 am",-0.00072114
"Jan 3, 08:00 am",0.159989
"Jan 3, 09:00 am",-0.00072114
"Jan 3, 10:00 am",0.194788
"Jan 3, 11:00 am",-0.00072114
"Jan 3, 12:00 pm",0.0728248
"Jan 3, 01:00 pm",0.144742
"Jan 3, 02:00 pm",-0.00072114
