"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",-0.00072114
"Jan 1, 01:00 am",-0.00072114
"Jan 1, 02:00 am",-0.00072114
"Jan 1, 03:00 am",-0.00072114
"Jan 1, 04:00 am",-0.00072114
"Jan 1, 05:00 am",-0.00072114
"Jan 1, 06:00 am",-0.00072114
"Jan 1, 07:00 am",-0.00072114
"Jan 1, 08:00 am",3.86835
"Jan 1, 09:00 am",6.2509
"Jan 1, 10:00 am",7.50932
"Jan 1, 11:00 am",7.99179
"Jan 1, 12:00 pm",8.0543
"Jan 1, 01:00 pm",7.74385
"Jan 1, 02:00 pm",6.83957
"Jan 1, 03:00 pm",4.95688
"Jan 1, 04:00 pm",1.41784
"Jan 1, 05:00 pm",-0.00072114
"Jan 1, 06:00 pm",-0.00072114
"Jan 1, 07:00 pm",-0.00072114
"Jan 1, 08:00 pm",-0.00072114
"Jan 1, 09:00 pm",-0.00072114
"Jan 1, 10:00 pm",-0.00072114
"Jan 1, 11:00 pm",-0.00072114
"Jan 2, 12:00 am",-0.00072114
"Jan 2, 01:00 am",-0.00072114
"Jan 2, 02:00 am",-0.00072114
"Jan 2, 03:00 am",-0.00072114
"Jan 2, 04:00 am",-0.00072114
"Jan 2, 05:00 am",-0.00072114
"Jan 2, 06:00 am",-0.00072114
"Jan 2, 07:00 am",-0.00072114
"Jan 2, 08:00 am",3.867
"Jan 2, 09:00 am",6.24966
"Jan 2, 10:00 am",7.49982
"Jan 2, 11:00 am",7.97554
"Jan 2, 12:00 pm",8.04123
"Jan 2, 01:00 pm",7.75645
"Jan 2, 02:00 pm",6.85538
"Jan 2, 03:00 pm",4.99277
"Jan 2, 04:00 pm",1.50309
"Jan 2, 05:00 pm",-0.00072114
"Jan 2, 06:00 pm",-0.00072114
"Jan 2, 07:00 pm",-0.00072114
"Jan 2, 08:00 pm",-0.00072114
"Jan 2, 09:00 pm",-0.00072114
"Jan 2, 10:00 pm",-0.00072114
"Jan 2, 11:00 pm",-0.00072114
"Jan 3, 12:00 am",-0.00072114
"Jan 3, 01:00 am",-0.00072114
"Jan 3, 02:00 am",-0.00072114
"Jan 3, 03:00 am",-0.00072114
"Jan 3, 04:00 am",-0.00072114
"Jan 3, 05:00 am",-0.00072114
"Jan 3, 06:00 am",-0.00072114
"Jan 3, 07:00 am",-0.00072114
"Jan 3, 08:00 am",3.62942
"Jan 3, 09:00 am",6.02463
"Jan 3, 10:00 am",7.25279
"Jan 3, 11:00 am",7.78908
"Jan 3, 12:00 pm",7.85049
"Jan 3, 01:00 pm",7.51447
"Jan 3, 02:00 pm",6.61003
"Jan 3, 03:00 pm",4.80275
