"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",-0.00072114
"Jan 1, 01:00 am",-0.00072114
"Jan 1, 02:00 am",-0.00072114
"Jan 1, 03:00 am",-0.00072114
"Jan 1, 04:00 am",-0.00072114
"Jan 1, 05:00 am",-0.00072114
"Jan 1, 06:00 am",-0.00072114
"Jan 1, 07:00 am",-0.00072114
"Jan 1, 08:00 am",3.97536
"Jan 1, 09:00 am",6.33024
"Jan 1, 10:00 am",7.54118
"Jan 1, 11:00 am",8.01677
"Jan 1, 12:00 pm",8.10651
"Jan 1, 01:00 pm",7.82934
"Jan 1, 02:00 pm",6.94035
"Jan 1, 03:00 pm",5.08086
"Jan 1, 04:00 pm",1.4793
"Jan 1, 05:00 pm",-0.00072114
"Jan 1, 06:00 pm",-0.00072114
"Jan 1, 07:00 pm",-0.00072114
"Jan 1, 08:00 pm",-0.00072114
"Jan 1, 09:00 pm",-0.00072114
"Jan 1, 10:00 pm",-0.00072114
"Jan 1, 11:00 pm",-0.00072114
"Jan 2, 12:00 am",-0.00072114
"Jan 2, 01:00 am",-0.00072114
"Jan 2, 02:00 am",-0.00072114
"Jan 2, 03:00 am",-0.00072114
"Jan 2, 04:00 am",-0.00072114
"Jan 2, 05:00 am",-0.00072114
"Jan 2, 06:00 am",-0.00072114
"Jan 2, 07:00 am",-0.00072114
"Jan 2, 08:00 am",3.979
"Jan 2, 09:00 am",6.33119
"Jan 2, 10:00 am",7.52229
"Jan 2, 11:00 am",8.00014
"Jan 2, 12:00 pm",8.07759
"Jan 2, 01:00 pm",7.75684
"Jan 2, 02:00 pm",6.87169
"Jan 2, 03:00 pm",5.01609
"Jan 2, 04:00 pm",1.50468
"Jan 2, 05:00 pm",-0.00072114
"Jan 2, 06:00 pm",-0.00072114
"Jan 2, 07:00 pm",-0.00072114
"Jan 2, 08:00 pm",-0.00072114
"Jan 2, 09:00 pm",-0.00072114
"Jan 2, 10:00 pm",-0.00072114
"Jan 2, 11:00 pm",-0.00072114
"Jan 3, 12:00 am",-0.00072114
"Jan 3, 01:00 am",-0.00072114
"Jan 3, 02:00 am",-0.00072114
"Jan 3, 03:00 am",-0.00072114
"Jan 3, 04:00 am",-0.00072114
"Jan 3, 05:00 am",-0.00072114
"Jan 3, 06:00 am",-0.00072114
"Jan 3, 07:00 am",-0.00072114
"Jan 3, 08:00 am",4.15063
"Jan 3, 09:00 am",6.51983
"Jan 3, 10:00 am",7.71357
"Jan 3, 11:00 am",8.20951
"Jan 3, 12:00 pm",8.28246
"Jan 3, 01:00 pm",7.9388
"Jan 3, 02:00 pm",7.01873
"Jan 3, 03:00 pm",5.19232
