timestamp,out.electricity.total.energy_consumption,temp_from_17,month,day,day_of_week,day_of_year,hour,Weekday,Weekend,last_week_load,previous_category_day_load
2018-01-08 00:00:00,1.588,5.300000000000001,1,8,1,8,0,1.0,0.0,1.667,5.95
2018-01-08 01:00:00,1.855,5.300000000000001,1,8,1,8,1,1.0,0.0,1.974,2.385
2018-01-08 02:00:00,2.045,5.9,1,8,1,8,2,1.0,0.0,2.52,1.47
2018-01-08 03:00:00,2.1870000000000003,6.4,1,8,1,8,3,1.0,0.0,0.951,2.052
2018-01-08 04:00:00,2.271,5.9,1,8,1,8,4,1.0,0.0,1.312,2.483
2018-01-08 05:00:00,4.731,5.9,1,8,1,8,5,1.0,0.0,3.935,5.2219999999999995
2018-01-08 06:00:00,4.256,5.9,1,8,1,8,6,1.0,0.0,4.009,4.906
2018-01-08 07:00:00,3.976,5.9,1,8,1,8,7,1.0,0.0,4.077,4.711
2018-01-08 08:00:00,3.933,5.9,1,8,1,8,8,1.0,0.0,4.3260000000000005,4.777
2018-01-08 09:00:00,3.724,6.4,1,8,1,8,9,1.0,0.0,4.142,4.856
2018-01-08 10:00:00,3.833,6.4,1,8,1,8,10,1.0,0.0,4.232,5.386
2018-01-08 11:00:00,4.134,6.4,1,8,1,8,11,1.0,0.0,3.542,4.89
2018-01-08 12:00:00,4.279,6.4,1,8,1,8,12,1.0,0.0,2.795,4.8
2018-01-08 13:00:00,4.216,7.0,1,8,1,8,13,1.0,0.0,1.984,4.538
2018-01-08 14:00:00,3.911,6.4,1,8,1,8,14,1.0,0.0,1.686,4.004
2018-01-08 15:00:00,3.864,6.4,1,8,1,8,15,1.0,0.0,1.199,3.818
2018-01-08 16:00:00,3.146,6.4,1,8,1,8,16,1.0,0.0,0.772,2.686
2018-01-08 17:00:00,2.692,6.4,1,8,1,8,17,1.0,0.0,0.676,2.209
2018-01-08 18:00:00,2.218,5.9,1,8,1,8,18,1.0,0.0,0.588,1.898
2018-01-08 19:00:00,1.897,5.300000000000001,1,8,1,8,19,1.0,0.0,0.456,1.773
2018-01-08 20:00:00,0.959,3.0999999999999996,1,8,1,8,20,1.0,0.0,1.67,0.859
2018-01-08 21:00:00,0.784,2.5999999999999996,1,8,1,8,21,1.0,0.0,1.204,0.8009999999999999
2018-01-08 22:00:00,0.728,2.5999999999999996,1,8,1,8,22,1.0,0.0,0.867,1.076
2018-01-08 23:00:00,0.664,2.0,1,8,1,8,23,1.0,0.0,0.846,1.32
2018-01-09 00:00:00,0.769,2.0,1,9,2,9,0,1.0,0.0,0.734,1.588
2018-01-09 01:00:00,0.826,2.5999999999999996,1,9,2,9,1,1.0,0.0,0.621,1.855
2018-01-09 02:00:00,0.878,2.5999999999999996,1,9,2,9,2,1.0,0.0,0.907,2.045
2018-01-09 03:00:00,0.906,2.5999999999999996,1,9,2,9,3,1.0,0.0,1.313,2.1870000000000003
2018-01-09 04:00:00,0.917,2.5999999999999996,1,9,2,9,4,1.0,0.0,1.673,2.271
2018-01-09 05:00:00,3.0460000000000003,2.5999999999999996,1,9,2,9,5,1.0,0.0,4.365,4.731
2018-01-09 06:00:00,2.708,2.5999999999999996,1,9,2,9,6,1.0,0.0,4.226,4.256
2018-01-09 07:00:00,2.474,2.5999999999999996,1,9,2,9,7,1.0,0.0,4.209,3.976
2018-01-09 08:00:00,2.439,3.0999999999999996,1,9,2,9,8,1.0,0.0,4.288,3.933
2018-01-09 09:00:00,2.6260000000000003,3.0999999999999996,1,9,2,9,9,1.0,0.0,4.391,3.724
2018-01-09 10:00:00,3.182,3.0999999999999996,1,9,2,9,10,1.0,0.0,4.869,3.833
2018-01-09 11:00:00,3.351,3.0999999999999996,1,9,2,9,11,1.0,0.0,4.407,4.134
2018-01-09 12:00:00,3.584,3.0999999999999996,1,9,2,9,12,1.0,0.0,4.07,4.279
2018-01-09 13:00:00,3.577,3.6999999999999993,1,9,2,9,13,1.0,0.0,3.28,4.216
2018-01-09 14:00:00,3.283,4.199999999999999,1,9,2,9,14,1.0,0.0,2.514,3.911
2018-01-09 15:00:00,3.352,4.199999999999999,1,9,2,9,15,1.0,0.0,2.28,3.864
2018-01-09 16:00:00,2.889,4.800000000000001,1,9,2,9,16,1.0,0.0,1.482,3.146
2018-01-09 17:00:00,2.8659999999999997,4.800000000000001,1,9,2,9,17,1.0,0.0,1.044,2.692
2018-01-09 18:00:00,2.8659999999999997,4.800000000000001,1,9,2,9,18,1.0,0.0,0.859,2.218
2018-01-09 19:00:00,2.8209999999999997,4.199999999999999,1,9,2,9,19,1.0,0.0,0.8200000000000001,1.897
2018-01-09 20:00:00,0.98,4.199999999999999,1,9,2,9,20,1.0,0.0,0.877,0.959
2018-01-09 21:00:00,1.242,3.6999999999999993,1,9,2,9,21,1.0,0.0,0.6819999999999999,0.784
2018-01-09 22:00:00,1.648,4.800000000000001,1,9,2,9,22,1.0,0.0,0.6799999999999999,0.728
2018-01-09 23:00:00,1.898,5.300000000000001,1,9,2,9,23,1.0,0.0,0.66,0.664
2018-01-10 00:00:00,2.119,4.800000000000001,1,10,3,10,0,1.0,0.0,0.862,0.769
