Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,11,0,0,0,4,10.100000000000001,0,0,0,0,94.10000000000001,165.09,0.12,1027,1.7000000000000002,307,0.7000000000000001,0.0000,0.0000
2018,1,1,1,30,10.8,0,0,0,0,10,0,0,0,0,94.72,157.86,0.12,1027,1.8,332,0.7000000000000001,0.0000,0.0000
2018,1,1,2,30,10.5,0,0,0,0,9.8,0,0,0,0,95.44,147.06,0.12,1027,1.8,352,0.7000000000000001,0.0000,0.0000
2018,1,1,3,30,10.200000000000001,0,0,0,0,9.600000000000001,0,0,0,0,95.88,135.33,0.12,1027,1.8,356,0.7000000000000001,0.0000,0.0000
2018,1,1,4,30,10,0,0,0,0,9.3,0,0,0,0,95.60000000000001,123.42,0.12,1027,1.8,344,0.7000000000000001,0.0000,0.0000
2018,1,1,5,30,9.8,0,0,0,0,9.1,0,0,0,0,95.46000000000001,111.66,0.12,1027,1.8,329,0.7000000000000001,0.0000,0.0000
2018,1,1,6,30,9.700000000000001,0,0,0,0,8.9,0,0,0,0,94.76,100.27,0.12,1028,1.8,323,0.7000000000000001,0.0000,0.0000
2018,1,1,7,30,10.100000000000001,10,90,11,0,8.700000000000001,10,90,14,11,91,89.09,0.12,1028,1.8,336,0.7000000000000001,0.0000,0.0000
2018,1,1,8,30,11.4,45,548,144,7,8.9,66,126,100,89,84.48,79.63,0.12,1028,1.8,179,0.9,4.2420,3.2340
2018,1,1,9,30,13.3,60,734,296,7,9.3,118,309,0,217,76.97,71.26,0.12,1029,1.8,18,1.3,10.9825,8.4906
2018,1,1,10,30,15.100000000000001,67,823,417,7,9.5,146,435,0,331,69,64.86,0.12,1028,1.8,26,1.5,17.6733,13.7580
2018,1,1,11,30,16.7,71,860,487,3,9.200000000000001,124,642,0,434,61.31,61.08,0.12,1028,1.8,27,1.3,23.7719,18.5550
2018,1,1,12,30,17.7,74,859,498,0,8.6,126,644,0,444,55.36,60.43,0.12,1027,1.8,20,1.1,24.4159,19.0650
2018,1,1,13,30,18.2,73,828,449,7,8.3,139,529,0,379,52.370000000000005,63.02,0.12,1027,1.8,12,1,20.5006,15.9813
2018,1,1,14,30,18,66,769,348,7,8.200000000000001,97,564,0,304,52.57,68.47,0.12,1026,1.8,9,0.9,15.7726,12.2362
2018,1,1,15,30,17.7,52,641,206,3,9.1,79,345,71,162,56.980000000000004,76.14,0.12,1026,1.8,9,0.8,7.8470,6.0179
2018,1,1,16,30,14.8,28,337,55,4,9,29,40,100,32,68.4,85.34,0.12,1026,1.8,23,0.9,0.0000,0.0000
2018,1,1,17,30,13.5,0,0,0,4,8,0,0,0,0,69.25,95.94,0.12,1026,1.8,43,1,0.0000,0.0000
2018,1,1,18,30,12.8,0,0,0,8,8,0,0,0,0,72.83,107.11,0.12,1026,1.8,62,1,0.0000,0.0000
2018,1,1,19,30,12.600000000000001,0,0,0,7,7.9,0,0,0,0,73.3,118.75,0.12,1027,1.7000000000000002,83,1,0.0000,0.0000
2018,1,1,20,30,12.5,0,0,0,7,7.6000000000000005,0,0,0,0,72.25,130.63,0.12,1027,1.7000000000000002,104,1,0.0000,0.0000
2018,1,1,21,30,12.600000000000001,0,0,0,7,7.6000000000000005,0,0,0,0,71.54,142.48,0.12,1027,1.7000000000000002,118,0.9,0.0000,0.0000
2018,1,1,22,30,12.600000000000001,0,0,0,7,7.6000000000000005,0,0,0,0,71.62,153.78,0.12,1027,1.7000000000000002,127,0.9,0.0000,0.0000
2018,1,1,23,30,12.5,0,0,0,7,7.6000000000000005,0,0,0,0,72.05,162.96,0.12,1027,1.7000000000000002,135,1,0.0000,0.0000
2018,1,2,0,30,12.3,0,0,0,7,7.7,0,0,0,0,73.39,165.03,0.12,1027,1.7000000000000002,137,1,0.0000,0.0000
2018,1,2,1,30,12.200000000000001,0,0,0,4,7.7,0,0,0,0,74.16,157.87,0.12,1027,1.7000000000000002,125,1,0.0000,0.0000
2018,1,2,2,30,11.8,0,0,0,7,7.6000000000000005,0,0,0,0,75.67,147.1,0.12,1026,1.7000000000000002,110,1.1,0.0000,0.0000
2018,1,2,3,30,11.4,0,0,0,6,7.5,0,0,0,0,77.02,135.38,0.12,1026,1.7000000000000002,102,1.1,0.0000,0.0000
2018,1,2,4,30,11,0,0,0,6,7.4,0,0,0,0,78.24,123.47,0.12,1026,1.7000000000000002,98,1.1,0.0000,0.0000
2018,1,2,5,30,10.600000000000001,0,0,0,6,7.2,0,0,0,0,79.35000000000001,111.7,0.12,1026,1.7000000000000002,97,1.1,0.0000,0.0000
2018,1,2,6,30,10.3,0,0,0,6,7,0,0,0,0,79.99,100.31,0.12,1026,1.7000000000000002,97,1.1,0.0000,0.0000
2018,1,2,7,30,11.200000000000001,10,89,11,6,7,6,0,71,6,75.3,89.11,0.12,1027,1.7000000000000002,92,1.1,0.0000,0.0000
