timestamp,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction,year,month,day,day_of_week,hour,minute,full_date,full_date_to_hour,full_datetime_to_hour,full_datetime_to_minute,timestamp
2018-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,1,1,1,2,00,2018-01-01,,2018-01-01 02,2018-01-01 02:00,
2018-01-01 03:00:00,KSJC,observation,1514803980.0,KSJC,San Jose,1514796780.0,N,11.0,21.0,2100.0,Haze,0.0,Steady,7.0,11.0,80.0,1020.63,9.0,11.0,,CALM,,0.0,,,,0.0,,Low,11.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,3,00,2018-01-01,2018-01-01 02:53,2018-01-01 03,2018-01-01 03:00,2018-01-01 02:53:00
2018-01-01 04:00:00,KSJC,observation,1514807580.0,KSJC,San Jose,1514800380.0,N,9.0,29.0,2900.0,Partly Cloudy,,,7.0,9.0,86.0,1020.97,8.0,9.0,120.0,ESE,,6.0,,,,0.0,,Low,9.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,4,00,2018-01-01,2018-01-01 03:53,2018-01-01 04,2018-01-01 04:00,2018-01-01 03:53:00
2018-01-01 05:00:00,KSJC,observation,1514811180.0,KSJC,San Jose,1514803980.0,N,8.0,33.0,3300.0,Fair,,,6.0,8.0,86.0,1020.63,8.0,8.0,,CALM,,0.0,,,,0.0,,Low,8.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,5,00,2018-01-01,2018-01-01 04:53,2018-01-01 05,2018-01-01 05:00,2018-01-01 04:53:00
2018-01-01 06:00:00,KSJC,observation,1514814780.0,KSJC,San Jose,1514807580.0,N,8.0,33.0,3300.0,Fair,1.0,Rising Rapidly,7.0,8.0,90.0,1020.97,6.0,8.0,,CALM,,0.0,,,,0.0,,Low,8.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,6,00,2018-01-01,2018-01-01 05:53,2018-01-01 06,2018-01-01 06:00,2018-01-01 05:53:00
2018-01-01 07:00:00,KSJC,observation,1514818380.0,KSJC,San Jose,1514811180.0,N,7.0,33.0,3300.0,Fair,,,6.0,7.0,93.0,1020.97,6.0,7.0,,CALM,,0.0,,,,0.0,,Low,7.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,7,00,2018-01-01,2018-01-01 06:53,2018-01-01 07,2018-01-01 07:00,2018-01-01 06:53:00
2018-01-01 08:00:00,KSJC,observation,1514821980.0,KSJC,San Jose,1514814780.0,N,7.0,33.0,3300.0,Fair,,,6.0,7.0,93.0,1020.97,4.0,7.0,,CALM,,0.0,,,,0.0,,Low,7.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,8,00,2018-01-01,2018-01-01 07:53,2018-01-01 08,2018-01-01 08:00,2018-01-01 07:53:00
2018-01-01 09:00:00,KSJC,observation,1514825580.0,KSJC,San Jose,1514818380.0,D,7.0,34.0,3400.0,Fair,1.0,Rising Rapidly,6.0,7.0,93.0,1021.64,4.0,7.0,,CALM,,0.0,,,,0.0,,Low,7.0,0.0,,,,,CLR,,,,,,,,,,2018,1,1,1,9,00,2018-01-01,2018-01-01 08:53,2018-01-01 09,2018-01-01 09:00,2018-01-01 08:53:00
2018-01-01 10:00:00,KSJC,observation,1514829180.0,KSJC,San Jose,1514821980.0,D,7.0,28.0,2800.0,Mostly Cloudy,,,6.0,7.0,93.0,1021.64,4.0,7.0,,CALM,,0.0,,,,0.0,,Low,7.0,0.0,,,,,BKN,,,,,,,,,,2018,1,1,1,10,00,2018-01-01,2018-01-01 09:53,2018-01-01 10,2018-01-01 10:00,2018-01-01 09:53:00
2018-01-01 11:00:00,KSJC,observation,1514832780.0,KSJC,San Jose,1514825580.0,D,9.0,28.0,2800.0,Mostly Cloudy,,,7.0,9.0,89.0,1021.98,4.0,9.0,,CALM,,0.0,,,,0.0,,Low,9.0,0.0,,,,,BKN,,,,,,,,,,2018,1,1,1,11,00,2018-01-01,2018-01-01 10:53,2018-01-01 11,2018-01-01 11:00,2018-01-01 10:53:00
2018-01-01 12:00:00,KSJC,observation,1514836380.0,KSJC,San Jose,1514829180.0,D,12.0,21.0,2100.0,Haze,1.0,Rising Rapidly,8.0,12.0,77.0,1022.66,4.0,12.0,,CALM,,0.0,,,,0.0,,Low,12.0,0.0,,,,,OVC,,,,,,,,,,2018,1,1,1,12,00,2018-01-01,2018-01-01 11:53,2018-01-01 12,2018-01-01 12:00,2018-01-01 11:53:00
2018-01-01 13:00:00,KSJC,observation,1514839980.0,KSJC,San Jose,1514832780.0,D,13.0,26.0,2600.0,Cloudy,,,8.0,13.0,72.0,1022.32,8.0,13.0,,CALM,,0.0,,,,0.0,,Low,13.0,1.0,,,,,OVC,,,,,,,,,,2018,1,1,1,13,00,2018-01-01,2018-01-01 12:53,2018-01-01 13,2018-01-01 13:00,2018-01-01 12:53:00
2018-01-01 14:00:00,KSJC,observation,1514843580.0,KSJC,San Jose,1514836380.0,D,16.0,26.0,2600.0,Cloudy,,,9.0,16.0,62.0,1020.97,8.0,16.0,320.0,NW,,6.0,,,,0.0,,Low,16.0,1.0,,,,,OVC,,,,,,,,,,2018,1,1,1,14,00,2018-01-01,2018-01-01 13:53,2018-01-01 14,2018-01-01 14:00,2018-01-01 13:53:00
